Dictionary,Ruleset,K
all_dict/cities.dic,../../rules/cap/1-0_sc_Word.rule,0.0
all_dict/cities.dic,../../rules/cap/1-0_Word.rule,1.4158849983571788e-10
all_dict/cities.dic,../../rules/cap/d_sc_Word.rule,0.0
all_dict/cities.dic,../../rules/cap/d_Word.rule,2.528366068494962e-11
all_dict/cities.dic,../../rules/cap/day_cc_Word.rule,0.0
all_dict/cities.dic,../../rules/cap/day_dd_Word.rule,1.582267797703299e-12
all_dict/cities.dic,../../rules/cap/day_mon_dd_Word.rule,7.891625556029615e-14
all_dict/cities.dic,../../rules/cap/day_Word.rule,2.1205650897054523e-11
all_dict/cities.dic,../../rules/cap/day_Word_dd.rule,7.014176835179571e-13
all_dict/cities.dic,../../rules/cap/day_Word_sc.rule,3.26240783031608e-13
all_dict/cities.dic,../../rules/cap/day_Word_year.rule,1.5740800426427778e-13
all_dict/cities.dic,../../rules/cap/dd_Word.rule,8.596444632882871e-12
all_dict/cities.dic,../../rules/cap/ddd_Word.rule,1.0113464273979848e-12
all_dict/cities.dic,../../rules/cap/dddd_Word.rule,6.118645885757808e-13
all_dict/cities.dic,../../rules/cap/sc_dd_Word.rule,0.0
all_dict/cities.dic,../../rules/cap/sc_dddd_Word.rule,0.0
all_dict/cities.dic,../../rules/cap/sc_Word_d.rule,0.0
all_dict/cities.dic,../../rules/cap/sc_Word_dd_mon_sc.rule,0.0
all_dict/cities.dic,../../rules/cap/sc_Word_dd_sc.rule,1.264183034247481e-13
all_dict/cities.dic,../../rules/cap/sc_Word_mon_day_sc.rule,0.0
all_dict/cities.dic,../../rules/cap/sc_Word_year.rule,9.724484878826777e-14
all_dict/cities.dic,../../rules/cap/sc_Word_year_sc.rule,0.0
all_dict/cities.dic,../../rules/cap/sc_year_Word.rule,0.0
all_dict/cities.dic,../../rules/cap/Word_2sc_dd.rule,0.0
all_dict/cities.dic,../../rules/cap/Word_day_dd_mon.rule,7.901333899957812e-14
all_dict/cities.dic,../../rules/cap/Word_day_mon.rule,6.390642293030431e-11
all_dict/cities.dic,../../rules/cap/Word_day_mon_dd.rule,3.0458905654851146e-13
all_dict/cities.dic,../../rules/cap/Word_day_mon_sc.rule,1.0105379970003845e-13
all_dict/cities.dic,../../rules/cap/Word_day_mon_year.rule,8.427886894983207e-14
all_dict/cities.dic,../../rules/cap/Word_dd.rule,3.271705692632481e-10
all_dict/cities.dic,../../rules/cap/Word_dd_2sc.rule,7.223903052842749e-14
all_dict/cities.dic,../../rules/cap/Word_dd_age.rule,1.7172101984416186e-12
all_dict/cities.dic,../../rules/cap/Word_dd_age_sc.rule,0.0
all_dict/cities.dic,../../rules/cap/Word_dd_sc.rule,1.0113464273979848e-12
all_dict/cities.dic,../../rules/cap/Word_ddd.rule,3.559939424440907e-11
all_dict/cities.dic,../../rules/cap/Word_ddd_sc.rule,3.6119515264213745e-14
all_dict/cities.dic,../../rules/cap/Word_dddd.rule,8.252586847567555e-12
all_dict/cities.dic,../../rules/cap/Word_mon_dd.rule,7.896281721607343e-12
all_dict/cities.dic,../../rules/cap/Word_mon_dd_sc.rule,6.4829899192178516e-15
all_dict/cities.dic,../../rules/cap/Word_pd.rule,2.989421057455808e-10
all_dict/cities.dic,../../rules/cap/Word_sc_dd.rule,2.528366068494962e-13
all_dict/cities.dic,../../rules/cap/Word_sc_year.rule,2.1069717237458017e-13
all_dict/cities.dic,../../rules/cap/Word_year.rule,3.44635744105621e-10
all_dict/cities.dic,../../rules/cap/Word_year_mon.rule,4.740686378428054e-13
all_dict/cities.dic,../../rules/cap/Word_year_sc.rule,2.0085151011408579e-13
all_dict/cities.dic,../../rules/cap/year_sc_Word.rule,7.779587903061421e-14
all_dict/cities.dic,../../rules/cap/year_Word.rule,1.7115093386735128e-11
all_dict/cities.dic,../../rules/cap/year_Word_sc.rule,0.0
all_dict/doubled.dict,../../rules/cap/1-0_sc_Word.rule,2.7146628842965215e-09
all_dict/doubled.dict,../../rules/cap/1-0_Word.rule,5.696615652585316e-08
all_dict/doubled.dict,../../rules/cap/d_sc_Word.rule,0.0
all_dict/doubled.dict,../../rules/cap/d_Word.rule,0.0
all_dict/doubled.dict,../../rules/cap/day_cc_Word.rule,0.0
all_dict/doubled.dict,../../rules/cap/day_dd_Word.rule,0.0
all_dict/doubled.dict,../../rules/cap/day_mon_dd_Word.rule,3.396101516541565e-11
all_dict/doubled.dict,../../rules/cap/day_Word.rule,0.0
all_dict/doubled.dict,../../rules/cap/day_Word_dd.rule,0.0
all_dict/doubled.dict,../../rules/cap/day_Word_sc.rule,0.0
all_dict/doubled.dict,../../rules/cap/day_Word_year.rule,1.0725396609612117e-11
all_dict/doubled.dict,../../rules/cap/dd_Word.rule,0.0
all_dict/doubled.dict,../../rules/cap/ddd_Word.rule,0.0
all_dict/doubled.dict,../../rules/cap/dddd_Word.rule,0.0
all_dict/doubled.dict,../../rules/cap/sc_dd_Word.rule,0.0
all_dict/doubled.dict,../../rules/cap/sc_dddd_Word.rule,0.0
all_dict/doubled.dict,../../rules/cap/sc_Word_d.rule,0.0
all_dict/doubled.dict,../../rules/cap/sc_Word_dd_mon_sc.rule,0.0
all_dict/doubled.dict,../../rules/cap/sc_Word_dd_sc.rule,0.0
all_dict/doubled.dict,../../rules/cap/sc_Word_mon_day_sc.rule,0.0
all_dict/doubled.dict,../../rules/cap/sc_Word_year.rule,0.0
all_dict/doubled.dict,../../rules/cap/sc_Word_year_sc.rule,0.0
all_dict/doubled.dict,../../rules/cap/sc_year_Word.rule,0.0
all_dict/doubled.dict,../../rules/cap/Word_2sc_dd.rule,0.0
all_dict/doubled.dict,../../rules/cap/Word_day_dd_mon.rule,1.3252371108297384e-11
all_dict/doubled.dict,../../rules/cap/Word_day_mon.rule,0.0
all_dict/doubled.dict,../../rules/cap/Word_day_mon_dd.rule,4.7042295080983166e-11
all_dict/doubled.dict,../../rules/cap/Word_day_mon_sc.rule,0.0
all_dict/doubled.dict,../../rules/cap/Word_day_mon_year.rule,4.742239877282261e-11
all_dict/doubled.dict,../../rules/cap/Word_dd.rule,0.0
all_dict/doubled.dict,../../rules/cap/Word_dd_2sc.rule,0.0
all_dict/doubled.dict,../../rules/cap/Word_dd_age.rule,0.0
all_dict/doubled.dict,../../rules/cap/Word_dd_age_sc.rule,0.0
all_dict/doubled.dict,../../rules/cap/Word_dd_sc.rule,0.0
all_dict/doubled.dict,../../rules/cap/Word_ddd.rule,0.0
all_dict/doubled.dict,../../rules/cap/Word_ddd_sc.rule,0.0
all_dict/doubled.dict,../../rules/cap/Word_dddd.rule,0.0
all_dict/doubled.dict,../../rules/cap/Word_mon_dd.rule,0.0
all_dict/doubled.dict,../../rules/cap/Word_mon_dd_sc.rule,0.0
all_dict/doubled.dict,../../rules/cap/Word_pd.rule,0.0
all_dict/doubled.dict,../../rules/cap/Word_sc_dd.rule,0.0
all_dict/doubled.dict,../../rules/cap/Word_sc_year.rule,0.0
all_dict/doubled.dict,../../rules/cap/Word_year.rule,0.0
all_dict/doubled.dict,../../rules/cap/Word_year_mon.rule,6.699648784962569e-11
all_dict/doubled.dict,../../rules/cap/Word_year_sc.rule,0.0
all_dict/doubled.dict,../../rules/cap/year_sc_Word.rule,0.0
all_dict/doubled.dict,../../rules/cap/year_Word.rule,0.0
all_dict/doubled.dict,../../rules/cap/year_Word_sc.rule,0.0
all_dict/kb_change_rus,../../rules/cap/1-0_sc_Word.rule,0.0
all_dict/kb_change_rus,../../rules/cap/1-0_Word.rule,1.8176092089164155e-11
all_dict/kb_change_rus,../../rules/cap/d_sc_Word.rule,0.0
all_dict/kb_change_rus,../../rules/cap/d_Word.rule,2.987850754383149e-12
all_dict/kb_change_rus,../../rules/cap/day_cc_Word.rule,0.0
all_dict/kb_change_rus,../../rules/cap/day_dd_Word.rule,4.9797512573052486e-14
all_dict/kb_change_rus,../../rules/cap/day_mon_dd_Word.rule,5.249162835567081e-15
all_dict/kb_change_rus,../../rules/cap/day_Word.rule,1.4457342359918461e-12
all_dict/kb_change_rus,../../rules/cap/day_Word_dd.rule,2.4898756286526243e-14
all_dict/kb_change_rus,../../rules/cap/day_Word_sc.rule,0.0
all_dict/kb_change_rus,../../rules/cap/day_Word_year.rule,4.844116009051798e-15
all_dict/kb_change_rus,../../rules/cap/dd_Word.rule,6.722664197362085e-13
all_dict/kb_change_rus,../../rules/cap/ddd_Word.rule,4.2327885687094614e-14
all_dict/kb_change_rus,../../rules/cap/dddd_Word.rule,1.9919005029220993e-14
all_dict/kb_change_rus,../../rules/cap/sc_dd_Word.rule,0.0
all_dict/kb_change_rus,../../rules/cap/sc_dddd_Word.rule,0.0
all_dict/kb_change_rus,../../rules/cap/sc_Word_d.rule,6.224689071631561e-14
all_dict/kb_change_rus,../../rules/cap/sc_Word_dd_mon_sc.rule,0.0
all_dict/kb_change_rus,../../rules/cap/sc_Word_dd_sc.rule,0.0
all_dict/kb_change_rus,../../rules/cap/sc_Word_mon_day_sc.rule,0.0
all_dict/kb_change_rus,../../rules/cap/sc_Word_year.rule,0.0
all_dict/kb_change_rus,../../rules/cap/sc_Word_year_sc.rule,0.0
all_dict/kb_change_rus,../../rules/cap/sc_year_Word.rule,0.0
all_dict/kb_change_rus,../../rules/cap/Word_2sc_dd.rule,3.556965183789463e-15
all_dict/kb_change_rus,../../rules/cap/Word_day_dd_mon.rule,2.7532940435592373e-15
all_dict/kb_change_rus,../../rules/cap/Word_day_mon.rule,2.4898756286526238e-12
all_dict/kb_change_rus,../../rules/cap/Word_day_mon_dd.rule,9.612103374220238e-15
all_dict/kb_change_rus,../../rules/cap/Word_day_mon_sc.rule,1.9903082563170456e-15
all_dict/kb_change_rus,../../rules/cap/Word_day_mon_year.rule,2.811149903317479e-14
all_dict/kb_change_rus,../../rules/cap/Word_dd.rule,1.742912940056837e-11
all_dict/kb_change_rus,../../rules/cap/Word_dd_2sc.rule,3.556965183789463e-15
